species,canonicalName
Hydrocotyle digitata A.R.Bean & Henwood,Hydrocotyle digitata
Hydrocotyle dimorphocarpa A.J.Perkins,Hydrocotyle dimorphocarpa
Hydrocotyle dipleura A.R.Bean,Hydrocotyle dipleura
Hydrocotyle eichleri A.J.Perkins,Hydrocotyle eichleri
Hydrocotyle foveolata H.Eichler,Hydrocotyle foveolata
Hydrocotyle geraniifolia F.Muell.,Hydrocotyle geraniifolia
Hydrocotyle grammatocarpa F.Muell.,Hydrocotyle grammatocarpa
Hydrocotyle hirta R.Br. ex A.Rich.,Hydrocotyle hirta
Hydrocotyle hispidula Bunge,Hydrocotyle hispidula
Hydrocotyle laxiflora DC.,Hydrocotyle laxiflora
Hydrocotyle lemnoides Benth.,Hydrocotyle lemnoides
Hydrocotyle medicaginoides Turcz.,Hydrocotyle medicaginoides
Hydrocotyle miranda A.R.Bean & Henwood,Hydrocotyle miranda
Hydrocotyle muriculata Turcz.,Hydrocotyle muriculata
Hydrocotyle muscosa R.Br. ex A.Rich.,Hydrocotyle muscosa
Hydrocotyle novae-zeelandiae DC.,Hydrocotyle novae-zeelandiae
Hydrocotyle oraria A.R.Bean,Hydrocotyle oraria
Hydrocotyle paludosa A.R.Bean,Hydrocotyle paludosa
Hydrocotyle papilionella A.J.Perkins,Hydrocotyle papilionella
Hydrocotyle pedicellosa F.Muell. ex Benth.,Hydrocotyle pedicellosa
Hydrocotyle perforata A.J.Perkins,Hydrocotyle perforata
Hydrocotyle phoenix A.J.Perkins,Hydrocotyle phoenix
Hydrocotyle pilifera Turcz.,Hydrocotyle pilifera
Hydrocotyle plebeya R.Br. ex A.Rich.,Hydrocotyle plebeya
Hydrocotyle pterocarpa F.Muell.,Hydrocotyle pterocarpa
Hydrocotyle rivularis H.Eichler ex Henwood,Hydrocotyle rivularis
Hydrocotyle rugulosa Turcz.,Hydrocotyle rugulosa
Hydrocotyle scutellifera Benth.,Hydrocotyle scutellifera
Hydrocotyle serendipita A.J.Perkins,Hydrocotyle serendipita
Hydrocotyle sibthorpioides Lam.,Hydrocotyle sibthorpioides
Hydrocotyle spinulifera A.J.Perkins,Hydrocotyle spinulifera
Hydrocotyle striata Benth.,Hydrocotyle striata
Hydrocotyle tetragonocarpa Bunge,Hydrocotyle tetragonocarpa
Hydrocotyle trachycarpa F.Muell.,Hydrocotyle trachycarpa
Hydrocotyle tripartita R.Br. ex A.Rich.,Hydrocotyle tripartita
Hydrocotyle tuberculata A.J.Perkins,Hydrocotyle tuberculata
Hydrocotyle tumida A.R.Bean & Henwood,Hydrocotyle tumida
Hydrocotyle verticillata Thunb.,Hydrocotyle verticillata
Mackinlaya confusa Hemsl.,Mackinlaya confusa
Mackinlaya macrosciadea (F.Muell.) F.Muell.,Mackinlaya macrosciadea
Meryta angustifolia (Endl.) Seem.,Meryta angustifolia
Meryta latifolia (Endl.) Seem.,Meryta latifolia
Motherwellia haplosciadea F.Muell.,Motherwellia haplosciadea
Polyscias australiana (F.Muell.) Philipson,Polyscias australiana
Polyscias bellendenkerensis (F.M.Bailey) Philipson,Polyscias bellendenkerensis
Polyscias cissodendron (C.Moore & F.Muell.) Harms,Polyscias cissodendron
Polyscias elegans (C.Moore & F.Muell.) Harms,Polyscias elegans
Polyscias macgillivrayi (Seem.) Harms,Polyscias macgillivrayi
Polyscias mollis (Benth.) Harms,Polyscias mollis
Polyscias murrayi (F.Muell.) Harms,Polyscias murrayi
Polyscias nodosa (Blume) Seem.,Polyscias nodosa
Polyscias purpurea C.T.White,Polyscias purpurea
Polyscias sambucifolia (Sieber ex DC.) Harms,Polyscias sambucifolia
Polyscias scutellaria (Burm.f.) Fosberg,Polyscias scutellaria
Polyscias spectabilis (Harms) Lowry & G.M.Plunkett,Polyscias spectabilis
Polyscias willmottii (F.Muell.) Philipson,Polyscias willmottii
Polyscias zippeliana (Miq.) Valeton,Polyscias zippeliana
Pseudopanax gunnii (Hook.f.) K.Koch,Pseudopanax gunnii
Schefflera actinophylla (Endl.) Harms,Schefflera actinophylla
Schefflera bractescens Ridl.,Schefflera bractescens
Schefflera elliptica (Blume) Harms,Schefflera elliptica
Trachymene anisocarpa (Turcz.) B.L.Burtt,Trachymene anisocarpa
Trachymene bialata (Domin) B.L.Burtt,Trachymene bialata
Trachymene bivestita (Domin) L.A.S.Johnson,Trachymene bivestita
Trachymene ceratocarpa (W.Fitzg.) Keighery & Rye,Trachymene ceratocarpa
Trachymene clivicola Boyland & A.E.Holland,Trachymene clivicola
Trachymene coerulea Graham,Trachymene coerulea
Trachymene composita (Domin) B.L.Burtt,Trachymene composita
Trachymene croniniana (F.Muell.) T.Durand & B.D.Jacks.,Trachymene croniniana
Trachymene cussonii (Montrouz.) B.L.Burtt,Trachymene cussonii
Trachymene cyanantha Boyland,Trachymene cyanantha
Trachymene cyanopetala (F.Muell.) Benth.,Trachymene cyanopetala
Trachymene dendrothrix Maconochie,Trachymene dendrothrix
Trachymene didiscoides (F.Muell.) B.L.Burtt,Trachymene didiscoides
Trachymene dusenii (Domin) F.M.Bailey,Trachymene dusenii
Trachymene elachocarpa (F.Muell.) B.L.Burtt,Trachymene elachocarpa
Trachymene geraniifolia F.M.Bailey,Trachymene geraniifolia
Trachymene gilleniae (Tate) B.L.Burtt,Trachymene gilleniae
Trachymene glandulosa (F.Muell.) Benth.,Trachymene glandulosa
Trachymene glaucifolia (F.Muell.) Benth.,Trachymene glaucifolia
Trachymene grandis (Turcz.) Rye,Trachymene grandis
Trachymene hookeri (Domin) A.E.Holland,Trachymene hookeri
Trachymene humilis (Hook.f.) Benth.,Trachymene humilis
Trachymene incisa Rudge,Trachymene incisa
Trachymene inflata Maconochie,Trachymene inflata
Trachymene longipedunculata Maconochie,Trachymene longipedunculata
Trachymene microcephala (Domin) B.L.Burtt,Trachymene microcephala
Trachymene montana A.E.Holland,Trachymene montana
Trachymene ochracea L.A.S.Johnson,Trachymene ochracea
Trachymene oleracea (Domin) B.L.Burtt,Trachymene oleracea
Trachymene ornata (Endl.) Druce,Trachymene ornata
Trachymene pilbarensis Rye,Trachymene pilbarensis
Trachymene pilosa Sm.,Trachymene pilosa
Trachymene procumbens (F.Muell.) Benth.,Trachymene procumbens
Trachymene psammophila Maconochie,Trachymene psammophila
Trachymene pyrophila Rye,Trachymene pyrophila
Trachymene rotundifolia (Benth.) Maconochie,Trachymene rotundifolia
Trachymene scapigera (Domin) B.L.Burtt,Trachymene scapigera
Trachymene tenuifolia (Domin) B.L.Burtt,Trachymene tenuifolia
Trachymene thysanocarpa J.M.Hart,Trachymene thysanocarpa
Trachymene umbratica J.M.Hart,Trachymene umbratica
Trachymene villosa (F.Muell.) Benth.,Trachymene villosa
Delarbrea michieana (F.Muell.) F.Muell.,Delarbrea michieana
Pennantia cunninghamii Miers,Pennantia cunninghamii
Pennantia endlicheri Reissek,Pennantia endlicheri
"Auranticarpa edentata L.Cayzer, Crisp & I.Telford",Auranticarpa edentata
"Auranticarpa ilicifolia L.Cayzer, Crisp & I.Telford",Auranticarpa ilicifolia
"Auranticarpa melanosperma (F.Muell.) L.Cayzer, Crisp & I.Telford",Auranticarpa melanosperma
"Auranticarpa papyracea L.Cayzer, Crisp & I.Telford",Auranticarpa papyracea
"Auranticarpa resinosa (Domin) L.Cayzer, Crisp & I.Telford",Auranticarpa resinosa
"Auranticarpa rhombifolia (A.Cunn. ex Hook.) L.Cayzer, Crisp & I.Telford",Auranticarpa rhombifolia
Bentleya diminuta Crisp & J.M.Taylor,Bentleya diminuta
Bentleya spinescens E.M.Benn.,Bentleya spinescens
Billardiera coriacea Benth.,Billardiera coriacea
Billardiera cymosa F.Muell.,Billardiera cymosa
Billardiera drummondii (C.Morren) L.Cayzer & Crisp,Billardiera drummondii
Billardiera floribunda (Putt.) F.Muell.,Billardiera floribunda
"Billardiera fraseri (Hook.) L.Cayzer, Crisp & I.Telford",Billardiera fraseri
Billardiera fusiformis Labill.,Billardiera fusiformis
Billardiera heterophylla (Lindl.) L.Cayzer & Crisp,Billardiera heterophylla
Billardiera laxiflora (Benth.) E.M.Benn.,Billardiera laxiflora
Billardiera lehmanniana F.Muell.,Billardiera lehmanniana
Billardiera longiflora Labill.,Billardiera longiflora
Billardiera macrantha Hook.f.,Billardiera macrantha
Billardiera mutabilis Salisb.,Billardiera mutabilis
Billardiera nesophila L.Cayzer & D.L.Jones,Billardiera nesophila
Billardiera ovalis Lindl.,Billardiera ovalis
"Billardiera rubens L.Cayzer, Crisp & I.Telford",Billardiera rubens
Billardiera scandens Sm.,Billardiera scandens
Billardiera sericophora F.Muell.,Billardiera sericophora
Billardiera speciosa (Endl.) F.Muell.,Billardiera speciosa
Billardiera uniflora E.M.Benn.,Billardiera uniflora
Billardiera variifolia DC.,Billardiera variifolia
Billardiera venusta (Putt.) L.Cayzer & Crisp,Billardiera venusta
Billardiera versicolor F.Muell. ex Klatt,Billardiera versicolor
Billardiera viridiflora L.Cayzer & D.L.Jones,Billardiera viridiflora
"Bursaria calcicola L.Cayzer, Crisp & I.Telford",Bursaria calcicola
Bursaria cayzerae I.Telford & L.M.Copel.,Bursaria cayzerae
Bursaria incana Lindl.,Bursaria incana
Bursaria longisepala Domin,Bursaria longisepala
Bursaria occidentalis E.M.Benn.,Bursaria occidentalis
"Bursaria reevesii L.Cayzer, Crisp & I.Telford",Bursaria reevesii
Bursaria spinosa Cav.,Bursaria spinosa
Bursaria tenuifolia F.M.Bailey,Bursaria tenuifolia
Cheiranthera alternifolia E.M.Benn.,Cheiranthera alternifolia
Cheiranthera borealis (E.M.Benn.) L.Cayzer & Crisp,Cheiranthera borealis
Cheiranthera brevifolia F.Muell.,Cheiranthera brevifolia
Cheiranthera filifolia Turcz.,Cheiranthera filifolia
Cheiranthera linearis A.Cunn. ex Lindl.,Cheiranthera linearis
Cheiranthera parviflora Benth.,Cheiranthera parviflora
Cheiranthera preissiana Putt.,Cheiranthera preissiana
Cheiranthera simplicifolia (E.M.Benn.) L.Cayzer & Crisp,Cheiranthera simplicifolia
Cheiranthera telfordii L.Cayzer & Crisp,Cheiranthera telfordii
Cheiranthera volubilis Benth.,Cheiranthera volubilis
Hymenosporum flavum (Hook.) F.Muell.,Hymenosporum flavum
Marianthus aquilonaris N.Gibson & Wege,Marianthus aquilonaris
Marianthus bicolor (Putt.) F.Muell.,Marianthus bicolor
Marianthus bignoniaceus F.Muell.,Marianthus bignoniaceus
Marianthus candidus Hügel ex Endl.,Marianthus candidus
Marianthus coeruleopunctatus Klotzsch,Marianthus coeruleopunctatus
Marianthus drummondianus (Putt.) Benth.,Marianthus drummondianus
Marianthus dryandra L.Cayzer & Crisp,Marianthus dryandra
Marianthus erubescens Putt.,Marianthus erubescens
Marianthus granulatus (Turcz.) Benth.,Marianthus granulatus
Marianthus microphyllus (Turcz.) Benth.,Marianthus microphyllus
Marianthus mollis (E.M.Benn.) L.Cayzer & Crisp,Marianthus mollis
Marianthus paralius L.Cayzer & Crisp,Marianthus paralius
